time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
Mei,40.2487,142.325,57.99,4.4,mb,5.32064,142,1.102,0.91,us
Mei,38.4231,133.6897,455.61,4,mb,5.16,73,4.049,0.48,us
Mei,32.4961,141.4927,35,4.9,mb,5.57274,115,1.542,0.78,us
Mei,32.4936,141.136,35,4.4,mb,5.32064,120,1.274,0.74,us
Mei,37.7169,141.8167,32,6,mww,6,43,3.112,0.93,us
Mei,38.0258,141.3548,44.61,4.4,mb,5.32064,171,2.769,0.44,us
Mei,35.6564,139.6978,74.51,4.4,mb,5.32064,121,1.494,0.61,us
Mei,42.4623,142.5545,25.39,4.5,mwr,4.5,78,0.632,0.49,us
Mei,36.2522,141.7617,20.74,4.7,mb,5.46506,96,2.88,0.46,us
Mei,32.625,138.886,10,4.3,mb,5.27706,128,0.921,0.47,us
Mei,35.9793,140.0071,58.99,4.1,mb,5.19674,162,1.557,0.27,us
Mei,42.0159,144.4738,9,5.7,mww,5.7,40,0.981,1.13,us
Mei,41.9053,144.4866,10,4.4,mb,5.32064,99,0.997,0.69,us
Mei,41.9182,144.1799,10,4.1,mb,5.19674,151,0.768,0.36,us
Mei,37.6349,141.6153,48.24,4.5,mb,5.3665,118,2.934,0.37,us
Mei,42.0692,144.4858,10,4.3,mb,5.27706,136,0.991,0.41,us
Mei,32.7593,139.016,217.89,4.1,mb,5.19674,116,0.738,0.73,us
Mei,29.6755,141.4063,35,4.6,mb,5.41464,95,2.66,1.18,us
Mei,42.1119,144.0278,10,4.3,mb,5.27706,181,0.655,0.2,us
Mei,42.1049,144.0354,48.01,4.7,mb,5.46506,138,0.66,0.68,us
Mei,36.8515,135.0632,382.39,4,mb,5.16,60,2.186,0.72,us
Mei,38.2946,141.682,63.6,4.3,mb,5.27706,157,2.537,1.04,us
Mei,39.1324,142.1033,56.31,4.2,mb,5.23576,150,1.837,0.54,us
Mei,37.6654,141.907,51.6,4.4,mb,5.32064,155,3.161,0.42,us
Mei,29.1822,142.323,22.19,4.5,mb,5.3665,91,2.082,0.5,us
Mei,40.5102,142.0843,56.03,4.4,mb,5.32064,126,0.824,0.7,us
Mei,36.9228,139.9959,35,4.2,mb,5.23576,152,1.487,1.1,us
Mei,30.7082,140.7098,10,4.2,mb,5.23576,123,2.518,0.41,us
Mei,35.3608,141.3662,10,4.3,mb,5.27706,139,2.582,0.42,us
Mei,29.1734,142.8405,10,4.3,mb,5.27706,217,2.149,0.93,us
Mei,31.8174,142.1409,10,4.4,mb,5.32064,139,2.354,0.54,us
Mei,37.7233,141.9089,53,4.4,mb,5.32064,157,3.131,0.5,us
Mei,39.57,139.7642,178.95,4.4,mb,5.32064,116,1.573,0.47,us
Mei,35.8904,140.1358,67.82,4.6,mb,5.41464,120,1.688,0.99,us
Mei,33.2268,139.3771,10,4.7,mb,5.46506,60,0.357,0.66,us
Mei,33.1086,139.371,10,4.4,mb,5.32064,190,0.346,0.72,us
Mei,33.1776,139.3567,10,4.1,mwr,4.1,79,0.362,0.77,us
Mei,36.4667,141.2031,47.54,4.5,mb,5.3665,159,2.413,0.67,us
Mei,37.6493,141.8087,51.7,4.4,mb,5.32064,104,3.083,0.65,us
Mei,33.2686,139.289,10,3.9,mwr,3.9,91,0.44,0.75,us
Mei,33.1474,139.4799,10,4.6,mb,5.41464,90,0.256,0.56,us
Mei,32.3944,141.3487,18.58,4.3,mb,5.27706,106,1.479,0.42,us
Mei,33.8408,135.3825,50.51,4.3,mb,5.27706,81,1.259,0.64,us
Mei,40.5175,143.1582,38.17,4.8,mb,5.51776,128,1.496,0.53,us
Mei,41.2993,140.3004,157.32,4.4,mb,5.32064,61,0.77,0.95,us
Mei,36.3194,142.1212,10,5.2,mww,5.2,101,3.162,0.96,us
Mei,36.3453,141.9087,10,4.9,mb,5.57274,127,2.989,0.84,us
Mei,36.4413,141.9959,10,5,mb,5.63,141,3.053,0.5,us
Mei,36.3105,141.9873,12.04,5.5,mww,5.5,63,3.055,0.85,us
Mei,42.0473,142.5681,56.92,4.9,mb,5.57274,86,0.44,0.53,us
Mei,33.2831,137.8614,357.09,4,mb,5.16,84,1.416,0.32,us
