time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
2021-08-24T12:37:56.859Z,29.6809,141.5611,38.78,4.8,mb,5.51776,101,2.633,0.44,us
2021-08-24T10:20:20.261Z,35.7959,135.5134,358.19,4.2,mb,5.23576,45,1.313,0.6,us
2021-08-23T23:49:36.856Z,39.3093,143.6793,19.68,4.3,mb,5.27706,150,2.492,1.17,us
2021-08-23T21:18:50.329Z,31.5274,142.694,10,4.2,mb,5.23576,114,2.907,0.67,us
2021-08-23T01:24:22.465Z,40.7181,145.072,10,4.7,mb,5.46506,124,1.938,0.81,us
2021-08-22T19:16:58.623Z,40.1927,141.3309,97.72,4.4,mb,5.32064,137,0.629,0.87,us
2021-08-22T02:24:35.187Z,37.582,141.7748,56.96,5.3,mb,5.81546,46,3.035,1.07,us
2021-08-21T21:55:39.639Z,36.0387,142.4909,10,5.2,mww,5.2,59,3.495,0.55,us
2021-08-21T19:45:16.660Z,33.7652,141.5463,10,4.7,mb,5.46506,112,1.587,0.65,us
2021-08-21T16:01:24.366Z,41.958,142.7306,73.29,4.2,mb,5.23576,116,0.323,0.38,us
2021-08-21T05:34:55.449Z,44.7244,144.7547,23.35,4.4,mb,5.32064,144,1.663,0.49,us
2021-08-20T20:54:14.711Z,35.6839,140.4007,48.05,4.4,mb,5.32064,122,1.97,0.83,us
2021-08-20T18:58:12.632Z,44.735,144.7527,10,4.3,mb,5.27706,121,1.665,0.94,us
2021-08-19T23:30:13.777Z,41.4839,142.022,57.49,4.3,mb,5.27706,131,1.001,0.52,us
2021-08-19T02:36:02.845Z,29.4973,141.3068,41.27,4.5,mb,5.3665,91,2.514,0.92,us
2021-08-18T09:50:07.192Z,29.5117,141.2019,31.33,4.3,mb,5.27706,121,2.558,0.65,us
2021-08-18T09:44:07.999Z,29.6565,141.4379,39.23,5.1,mww,5.1,94,2.634,0.56,us
2021-08-17T16:31:03.796Z,34.974,133.0558,10,4.5,mb,5.3665,98,1.413,0.9,us
2021-08-17T07:59:45.987Z,32.7517,141.9307,10,4.8,mb,5.51776,112,1.816,0.65,us
2021-08-15T20:03:13.658Z,35.4524,136.3642,10,4.3,mb,5.27706,114,0.552,1.06,us
2021-08-13T05:36:28.472Z,36.7118,141.8126,11.85,4.5,mb,5.3665,140,2.903,1.12,us
2021-08-13T01:52:43.038Z,29.5407,141.1185,58.86,4.6,mb,5.41464,106,2.61,1.31,us
2021-08-13T00:48:50.347Z,36.5733,141.0737,35,4.5,mb,5.3665,159,2.306,0.96,us
2021-08-12T11:36:11.153Z,34.9341,140.3363,66.81,4.6,mb,5.41464,107,1.79,0.98,us
2021-08-10T23:28:26.388Z,40.9394,142.9894,43.92,4.3,mb,5.27706,144,1.082,0.96,us
2021-08-09T16:15:09.536Z,36.4659,141.4276,37.3,4.4,mb,5.32064,98,2.594,0.46,us
2021-08-08T09:37:32.001Z,43.1193,146.4227,67.47,4.4,mb,5.32064,136,2.652,0.65,us
2021-08-08T06:16:01.899Z,41.4144,142.0761,64.73,4,mb,5.16,133,0.986,0.33,us
2021-08-06T16:30:50.201Z,38.6621,141.1684,108.56,4.5,mb,5.3665,139,2.126,0.6,us
2021-08-05T21:10:12.831Z,36.2666,141.5916,35,4.5,mb,5.3665,85,2.742,0.71,us
2021-08-04T14:49:38.771Z,32.6158,141.7764,10,4.4,mb,5.32064,90,1.725,0.55,us
2021-08-04T14:23:56.421Z,36.6575,141.3199,41.7,4.3,mb,5.27706,102,2.506,0.46,us
2021-08-04T11:57:38.853Z,35.8782,142.529,10,4.2,mb,5.23576,193,3.552,0.66,us
2021-08-04T10:28:27.213Z,36.124,142.0166,10,4.4,mb,5.32064,141,3.102,0.83,us
2021-08-04T09:26:41.802Z,36.2366,141.8954,27.08,4.8,mb,5.51776,126,2.989,0.54,us
2021-08-04T09:20:48.798Z,36.2094,142.1607,21.68,4.2,mb,5.23576,133,3.206,0.51,us
2021-08-04T09:03:22.120Z,36.8278,141.2449,41.72,4.5,mb,5.3665,118,2.457,0.45,us
2021-08-04T06:14:54.893Z,36.1777,141.9808,10,4.8,mb,5.51776,117,3.066,0.8,us
2021-08-04T06:08:26.104Z,36.2078,141.8615,34.14,4.8,mb,5.51776,65,2.966,0.76,us
2021-08-04T05:02:52.107Z,36.1178,141.9632,30.51,4.1,mb,5.19674,170,3.06,0.98,us
2021-08-04T04:40:25.422Z,36.1778,141.8625,14,5.4,mww,5.4,42,2.971,0.63,us
2021-08-04T04:11:51.664Z,36.1826,142.3371,10,4.6,mb,5.41464,119,3.351,0.77,us
2021-08-04T03:05:37.366Z,36.258,142.0519,10,4.8,mb,5.51776,118,3.113,0.96,us
2021-08-04T02:56:24.909Z,36.2425,141.9935,12.57,4.8,mww,4.8,103,3.067,0.44,us
2021-08-04T02:32:51.988Z,36.15,141.8218,35,4.1,mb,5.19674,216,2.942,0.52,us
2021-08-04T02:11:28.784Z,36.2458,142.0116,32.29,4.2,mb,5.23576,180,3.082,0.4,us
2021-08-04T01:56:45.503Z,36.1722,142.1333,10,4.3,mb,5.27706,172,3.189,0.56,us
2021-08-04T01:12:06.907Z,36.2756,141.9541,36.29,4.2,mb,5.23576,197,3.032,0.66,us
2021-08-04T01:09:58.047Z,36.2281,141.9604,30.67,4.3,mb,5.27706,155,3.043,0.4,us
2021-08-04T01:04:03.407Z,36.1619,141.9568,19.79,4.3,mb,5.27706,153,3.049,0.4,us
2021-08-04T00:53:32.886Z,36.077,142.2197,10,4.4,mb,5.32064,133,3.272,0.77,us
2021-08-03T22:49:06.962Z,36.1767,141.7882,23.5,4.5,mb,5.3665,117,2.911,0.78,us
2021-08-03T22:10:54.707Z,36.1428,142.0719,10,4.9,mb,5.57274,118,3.143,0.74,us
2021-08-03T21:17:56.682Z,36.2494,142.0744,10,4.4,mb,5.32064,145,3.132,0.66,us
2021-08-03T21:04:32.049Z,36.0787,142.1689,10,4.5,mb,5.3665,192,3.231,1.11,us
2021-08-03T21:03:51.102Z,36.2211,142.1031,10,4.1,mb,5.19674,190,3.158,0.71,us
2021-08-03T20:58:41.016Z,36.1542,142.3022,10,4.2,mb,5.23576,145,3.326,0.63,us
2021-08-03T20:53:51.162Z,36.2437,141.9691,10,4.5,mb,5.3665,132,3.048,0.7,us
2021-08-03T20:53:26.214Z,36.3955,141.7489,24.63,4.4,mb,5.32064,138,2.857,0.67,us
2021-08-03T20:50:08.603Z,36.1692,142.3469,10,4.5,mb,5.3665,132,3.36,1,us
2021-08-03T20:43:10.211Z,36.1397,142.1001,10,5.2,mww,5.2,48,1.673,0.9,us
2021-08-03T20:42:49.374Z,36.2148,141.9301,26.41,4.7,mb,5.46506,89,1.595,0.71,us
2021-08-03T20:39:02.843Z,36.2381,141.9013,23.53,4.9,mb,5.57274,127,2.994,0.7,us
2021-08-03T20:37:17.770Z,36.1586,142.1403,21.93,4.9,mb,5.57274,138,3.196,0.81,us
2021-08-03T20:33:34.791Z,36.0981,142.1045,27,5.8,mww,5.8,40,1.657,0.76,us
2021-08-03T13:20:20.812Z,37.3504,142.2019,37.13,4.7,mb,5.46506,79,3.298,0.56,us
2021-08-03T12:37:52.955Z,36.8907,141.9864,35,4.5,mb,5.3665,139,3.055,0.58,us
2021-08-03T11:16:45.780Z,36.1887,142.0747,20.12,4.6,mb,5.41464,131,3.139,0.57,us
2021-08-03T10:47:39.958Z,36.1978,141.9399,35,4.5,mb,5.3665,137,3.03,0.52,us
2021-08-03T10:39:58.793Z,36.1162,142.1782,10,4.4,mb,5.32064,133,3.233,0.22,us
2021-08-03T10:29:17.615Z,36.1948,141.9343,16.99,5,mww,5,83,1.587,0.4,us
2021-08-03T08:56:58.202Z,33.0535,137.0409,400.49,4,mb,5.16,88,1.878,0.52,us
2021-08-03T07:28:23.392Z,36.1727,141.9275,17.2,4.6,mb,5.41464,126,3.024,0.46,us
2021-08-03T06:02:51.676Z,36.2176,141.8978,16.03,4.5,mb,5.3665,117,2.994,0.97,us
